fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Steve,Montgomery,The Creepy Weasel,193.04,185,NULL,Southpaw,1990-12-19,9,5,0,NULL,http://ufcstats.com/fighter-details/6e92eb1242b46636
James,Moontasri,Moon Walker,177.8,170,180.34,Switch,1988-04-10,9,5,0,NULL,http://ufcstats.com/fighter-details/c06a9b48d4132c8e
Homer,Moore,The Rock,177.8,205,NULL,Orthodox,1971-11-27,26,9,2,NULL,http://ufcstats.com/fighter-details/e56df3c1d8b4b1cc
Todd,Moore,NULL,175.26,170,180.34,Southpaw,1983-12-30,16,7,0,NULL,http://ufcstats.com/fighter-details/e31502e3f79d00c5
Nate,Moore,NULL,182.88,170,NULL,,NULL,8,4,0,NULL,http://ufcstats.com/fighter-details/518e5202a91980d4
Dustin,Moore,NULL,162.56,125,NULL,,NULL,0,2,0,NULL,http://ufcstats.com/fighter-details/831de97afe326478
Taylor,Moore,NULL,177.8,135,177.8,Southpaw,1993-10-16,10,5,0,NULL,http://ufcstats.com/fighter-details/26927dab41dbd5fc
Sergio,Moraes,The Panther,182.88,170,182.88,Orthodox,1982-07-23,14,6,1,NULL,http://ufcstats.com/fighter-details/1bcaac2d99b90fce
Marlon,Moraes,Magic,167.64000000000001,135,170.18,Orthodox,1988-04-26,23,10,1,NULL,http://ufcstats.com/fighter-details/fea79f9bc8c68769
Sheymon,Moraes,NULL,172.72,145,182.88,Orthodox,1990-10-11,11,4,0,NULL,http://ufcstats.com/fighter-details/0d62719b1dcf7c40
